"","onsets","conditions","durations"
"1",0,4,6
"2",10,2,6
"3",20,1,6
"4",30,4,6
"5",40,3,6
"6",50,3,6
"7",60,5,6
"8",70,4,6
"9",80,2,6
"10",90,2,6
"11",100,4,6
"12",110,2,6
"13",120,3,6
"14",130,4,6
"15",140,3,6
"16",150,4,6
"17",160,2,6
"18",170,5,6
"19",180,5,6
"20",190,5,6
"21",200,2,6
"22",210,3,6
"23",220,5,6
"24",230,4,6
"25",240,1,6
"26",250,3,6
"27",260,3,6
"28",270,1,6
"29",280,4,6
"30",290,4,6
"31",300,4,6
"32",310,3,6
"33",320,5,6
"34",330,2,6
"35",340,1,6
"36",350,1,6
"37",360,3,6
"38",370,1,6
"39",380,1,6
"40",390,1,6
"41",400,5,6
"42",410,3,6
"43",420,5,6
"44",430,5,6
"45",440,1,6
"46",450,2,6
"47",460,2,6
"48",470,5,6
"49",480,1,6
"50",490,1,6
"51",500,2,6
"52",510,2,6
"53",520,2,6
"54",530,3,6
"55",540,2,6
"56",550,5,6
"57",560,4,6
"58",570,2,6
"59",580,3,6
"60",590,4,6
"61",600,4,6
"62",610,5,6
"63",620,4,6
"64",630,5,6
"65",640,1,6
"66",650,3,6
"67",660,2,6
"68",670,1,6
"69",680,2,6
"70",690,1,6
"71",700,4,6
"72",710,4,6
"73",720,5,6
"74",730,3,6
"75",740,1,6
"76",750,5,6
"77",760,1,6
"78",770,5,6
"79",780,2,6
"80",790,3,6
"81",800,3,6
"82",810,5,6
"83",820,2,6
"84",830,4,6
"85",840,1,6
"86",850,1,6
"87",860,4,6
"88",870,3,6
"89",880,5,6
"90",890,2,6
"91",900,4,6
"92",910,1,6
"93",920,3,6
"94",930,1,6
"95",940,3,6
"96",950,2,6
"97",960,5,6
"98",970,5,6
"99",980,4,6
"100",990,3,6
