0,3,6
8,11,6
16,7,6
24,3,6
32,4,6
40,10,6
48,5,6
56,2,6
64,4,6
72,2,6
80,8,6
88,12,6
96,5,6
104,10,6
112,11,6
120,5,6
128,3,6
136,12,6
144,3,6
152,9,6
160,4,6
168,6,6
176,8,6
184,5,6
192,6,6
200,11,6
208,2,6
216,11,6
224,8,6
232,10,6
240,2,6
248,1,6
256,2,6
264,3,6
272,8,6
280,11,6
288,4,6
296,1,6
304,9,6
312,3,6
320,1,6
328,5,6
336,7,6
344,12,6
352,10,6
360,12,6
368,8,6
376,3,6
384,7,6
392,9,6
400,10,6
408,9,6
416,12,6
424,4,6
432,8,6
440,7,6
448,6,6
456,1,6
464,7,6
472,1,6
480,8,6
488,2,6
496,5,6
504,9,6
512,11,6
520,9,6
528,5,6
536,8,6
544,4,6
552,12,6
560,11,6
568,1,6
576,1,6
584,12,6
592,7,6
600,11,6
608,6,6
616,7,6
624,4,6
632,9,6
640,2,6
648,10,6
656,7,6
664,2,6
672,6,6
680,6,6
688,10,6
696,6,6
704,5,6
712,12,6
720,9,6
728,6,6
736,4,6
744,3,6
752,10,6
760,1,6
